Wall time,Step,Value
1686342162.0887341,100,12.086000442504883
1686342169.6386034,200,10.645000457763672
1686342178.7275558,300,10.347000122070312
1686342186.535807,400,10.163999557495117
1686342195.474536,500,10.008999824523926
1686342203.9976885,600,9.753999710083008
1686342211.395223,700,9.437999725341797
1686342220.080094,800,9.237000465393066
1686342227.7623062,900,9.029000282287598
1686342236.5352182,1000,8.78499984741211
1686342244.031221,1100,8.527000427246094
1686342252.8031647,1200,8.315999984741211
1686342261.2772193,1300,8.211999893188477
1686342269.9280925,1400,8.126999855041504
1686342279.1402361,1500,7.935999870300293
1686342286.9208877,1600,7.796999931335449
1686342295.554532,1700,7.63100004196167
1686342304.15723,1800,7.561999797821045
1686342312.7964067,1900,7.3480000495910645
1686342322.0031831,2000,7.2820000648498535
1686342329.2099981,2100,7.173999786376953
1686342337.7098787,2200,7.013000011444092
1686342346.055514,2300,6.914999961853027
1686342355.7542372,2400,6.889999866485596
1686342364.1252015,2500,6.78000020980835
1686342372.150628,2600,6.703000068664551
1686342381.1704326,2700,6.6529998779296875
1686342388.6187723,2800,6.591000080108643
1686342397.3055325,2900,6.517000198364258
1686342404.747573,3000,6.396999835968018
1686342413.7171974,3100,6.35699987411499
1686342422.2481284,3200,6.394000053405762
1686342430.878163,3300,6.3460001945495605
1686342439.8957963,3400,6.318999767303467
1686342447.2179685,3500,6.264999866485596
1686342456.2810836,3600,6.218999862670898
1686342463.7498496,3700,6.158999919891357
1686342472.7366405,3800,6.171999931335449
1686342481.0953348,3900,6.078000068664551
1686342489.351661,4000,6.050000190734863
1686342497.9183075,4100,6.052000045776367
1686342505.79019,4200,6.002999782562256
1686342514.6987724,4300,5.9720001220703125
1686342522.589305,4400,5.9679999351501465
1686342531.335222,4500,5.9670000076293945
1686342539.92766,4600,5.943999767303467
1686342549.1363664,4700,5.928999900817871
1686342558.4048615,4800,5.988999843597412
1686342565.947243,4900,5.8460001945495605
1686342575.0160637,5000,5.876999855041504
1686342584.1778982,5100,5.804999828338623
1686342591.903202,5200,5.763999938964844
1686342600.686251,5300,5.794000148773193
1686342607.9432166,5400,5.742000102996826
1686342616.7143443,5500,5.735000133514404
1686342638.0217383,5600,5.706999778747559
1686342646.410653,5700,5.568999767303467
1686342654.9332616,5800,5.73199987411499
1686342663.315136,5900,5.584000110626221
1686342672.4797394,6000,5.673999786376953
1686342679.9989243,6100,5.611000061035156
1686342688.9765427,6200,5.570000171661377
1686342696.6120105,6300,5.565000057220459
1686342705.7555127,6400,5.607999801635742
1686342714.5082383,6500,5.546000003814697
1686342722.8097034,6600,5.5229997634887695
1686342732.3106542,6700,5.632999897003174
1686342741.6971486,6800,5.5879998207092285
1686342750.5685403,6900,5.538000106811523
1686342759.3929615,7000,5.514999866485596
1686342766.9469268,7100,5.4670000076293945
1686342776.156392,7200,5.501999855041504
1686342783.6345382,7300,5.449999809265137
1686342792.4391768,7400,5.489999771118164
1686342801.219312,7500,5.4730000495910645
1686342809.8475358,7600,5.433000087738037
1686342818.9149284,7700,5.447999954223633
1686342827.4300237,7800,5.519000053405762
1686342835.7264893,7900,5.388000011444092
1686342843.3775244,8000,5.420000076293945
1686342852.2356129,8100,5.4629998207092285
1686342860.7273602,8200,5.395999908447266
1686342869.1488848,8300,5.357999801635742
1686342877.9667659,8400,5.38700008392334
1686342886.1263103,8500,5.418000221252441
1686342895.1068714,8600,5.426000118255615
1686342903.5945385,8700,5.353000164031982
1686342911.914265,8800,5.4039998054504395
1686342921.0668142,8900,5.336999893188477
1686342928.9777446,9000,5.392000198364258
1686342939.8570302,9100,5.380000114440918
1686342947.6973288,9200,5.322000026702881
1686342956.788087,9300,5.375999927520752
