Wall time,Step,Value
1686342634.5096364,5553,7.196000099182129
1686343120.7246118,11107,5.426000118255615
1686343611.533988,16661,5.132999897003174
1686344103.0502598,22214,4.995999813079834
1686344594.2867687,27768,4.910999774932861
1686345085.9385555,33322,4.849999904632568
