Wall time,Step,Value
1686342558.9704754,100,14.807000160217285
1686342572.5892441,200,13.550000190734863
1686342585.8572462,300,13.35099983215332
1686342599.5290353,400,13.307000160217285
1686342613.1682284,500,13.220999717712402
1686342626.6325097,600,13.100000381469727
1686342639.831514,700,12.890000343322754
1686342653.1466265,800,12.694999694824219
1686342666.1084557,900,12.489999771118164
1686342679.5995,1000,12.33899974822998
1686342692.8573322,1100,12.140000343322754
1686342706.2621286,1200,12.039999961853027
1686342720.1973035,1300,11.869999885559082
1686342733.061576,1400,11.675999641418457
1686342747.1431837,1500,11.559000015258789
1686342760.4224958,1600,11.369000434875488
1686342773.4641228,1700,11.291000366210938
1686342786.8626437,1800,11.156999588012695
1686342800.7555923,1900,11.088000297546387
1686342813.641335,2000,10.906000137329102
1686342827.1533048,2100,10.854999542236328
1686342840.6570227,2200,10.770000457763672
1686342854.1791427,2300,10.66100025177002
1686342867.9000723,2400,10.541000366210938
1686342881.2905233,2500,10.428999900817871
1686342894.9744625,2600,10.404000282287598
1686342907.7246206,2700,10.277000427246094
1686342920.3171473,2800,10.144000053405762
1686342933.95988,2900,10.149999618530273
1686342948.4258687,3000,10.050999641418457
1686342961.7877898,3100,10.017999649047852
1686342975.1168914,3200,9.930000305175781
1686342988.528364,3300,9.940999984741211
1686343002.1545877,3400,9.883000373840332
1686343015.3945413,3500,9.739999771118164
1686343028.675044,3600,9.718000411987305
1686343042.8791811,3700,9.725000381469727
1686343056.3373096,3800,9.652999877929688
1686343069.7275553,3900,9.543000221252441
1686343083.5333238,4000,9.585000038146973
1686343096.6517053,4100,9.539999961853027
1686343110.631148,4200,9.604000091552734
1686343124.1833088,4300,9.41100025177002
1686343139.2868166,4400,9.354000091552734
1686343153.1224513,4500,9.34000015258789
1686343165.792838,4600,9.307000160217285
1686343179.1829133,4700,9.196000099182129
1686343192.5408673,4800,9.22700023651123
1686343205.6532087,4900,9.14900016784668
1686343219.25756,5000,9.144000053405762
1686343232.8237383,5100,9.145000457763672
1686343246.0127168,5200,9.07699966430664
1686343259.5469196,5300,9.055000305175781
1686343272.396768,5400,9.08899974822998
1686343286.1508906,5500,9.069000244140625
1686343299.99742,5600,9.02400016784668
1686343313.9618027,5700,9.041999816894531
1686343328.7880447,5800,8.940999984741211
1686343341.8778079,5900,8.888999938964844
1686343354.9111266,6000,8.850000381469727
1686343368.1216848,6100,8.800999641418457
1686343381.7346735,6200,8.86299991607666
1686343417.6485991,6300,8.854999542236328
1686343430.5747736,6400,8.678000450134277
